Proposal No.,Issue URL,Granularity,Directory Level,File Level,Function Level,Code URL
,,,,src/errors/wrap_test.go,As,https://github.com/golang/go/blob/master/src/errors/wrap_test.go
48702,https://github.com/golang/go/issues/48702,directory,src/encoding/json,N/A,N/A,https://github.com/golang/go/tree/master/src/encoding/json
38891,https://github.com/golang/go/issues/38891,file,src/sync,src/sync/rwmutex.go,N/A,https://github.com/golang/go/blob/master/src/sync/rwmutex.go
,,,,src/sync/rwmutex_test.go,,https://github.com/golang/go/blob/master/src/sync/rwmutex_test.go
44484,https://github.com/golang/go/issues/44484,file,src/embed,src/embed/embed.go,N/A,https://github.com/golang/go/blob/master/src/embed/embed.go
,,,test,test/embedfunc.go,,https://github.com/golang/go/blob/master/test/embedfunc.go
,,,test/interface,test/interface/embed1.go,,https://github.com/golang/go/blob/master/test/interface/embed1.go
,,,test,test/embed2.go,,https://github.com/golang/go/blob/master/test/embed2.go
,,,,test/embed.go,,https://github.com/golang/go/blob/master/test/embed.go
,,,test/interface/embed1.dir,test/interface/embed1.dir/embed1.go,,https://github.com/golang/go/blob/master/test/interface/embed1.dir/embed1.go
,,,test,test/embed3.go,,https://github.com/golang/go/blob/master/test/embed3.go
,,,test/interface/embed1.dir,test/interface/embed1.dir/embed0.go,,https://github.com/golang/go/blob/master/test/interface/embed1.dir/embed0.go
,,,test/interface,test/interface/embed2.go,,https://github.com/golang/go/blob/master/test/interface/embed2.go
,,,test,test/embed1.go,,https://github.com/golang/go/blob/master/test/embed1.go
,,,test/interface,test/interface/embed.go,,https://github.com/golang/go/blob/master/test/interface/embed.go
,,,test/interface/embed3.dir,test/interface/embed3.dir/embed1.go,,https://github.com/golang/go/blob/master/test/interface/embed3.dir/embed1.go
,,,,test/interface/embed3.dir/embed0.go,,https://github.com/golang/go/blob/master/test/interface/embed3.dir/embed0.go
,,,test/ken,test/ken/embed.go,,https://github.com/golang/go/blob/master/test/ken/embed.go
,,,src/cmd/compile/internal/staticdata,src/cmd/compile/internal/staticdata/embed.go,,https://github.com/golang/go/blob/master/src/cmd/compile/internal/staticdata/embed.go
,,,test,test/embedvers.go,,https://github.com/golang/go/blob/master/test/embedvers.go
,,,test/interface,test/interface/embed3.go,,https://github.com/golang/go/blob/master/test/interface/embed3.go
,,,src/embed/internal/embedtest,src/embed/internal/embedtest/embed_test.go,,https://github.com/golang/go/blob/master/src/embed/internal/embedtest/embed_test.go
41130,https://github.com/golang/go/issues/41130,function,src/builtin,src/builtin/builtin.go,delete,https://github.com/golang/go/blob/master/src/builtin/builtin.go
43217,https://github.com/golang/go/issues/43217,file,src/embed,src/embed/example_test.go,N/A,https://github.com/golang/go/blob/master/src/embed/example_test.go
,,,,src/embed/embed.go,,https://github.com/golang/go/blob/master/src/embed/embed.go
,,,test/interface,test/interface/embed1.go,,https://github.com/golang/go/blob/master/test/interface/embed1.go
,,,test/typeparam,test/typeparam/genembed2.go,,https://github.com/golang/go/blob/master/test/typeparam/genembed2.go
,,,test/interface,test/interface/embed.go,,https://github.com/golang/go/blob/master/test/interface/embed.go
,,,test/typeparam,test/typeparam/genembed.go,,https://github.com/golang/go/blob/master/test/typeparam/genembed.go
,,,test/ken,test/ken/embed.go,,https://github.com/golang/go/blob/master/test/ken/embed.go
,,,src/cmd/compile/internal/staticdata,src/cmd/compile/internal/staticdata/embed.go,,https://github.com/golang/go/blob/master/src/cmd/compile/internal/staticdata/embed.go
,,,test/interface,test/interface/embed3.go,,https://github.com/golang/go/blob/master/test/interface/embed3.go
,,,,test/interface/embed2.go,,https://github.com/golang/go/blob/master/test/interface/embed2.go
53510,https://github.com/golang/go/issues/53510,function,src/slices,src/slices/slices_test.go,not selected,https://github.com/golang/go/blob/master/src/slices/slices_test.go
,,,,src/slices/slices.go,not selected,https://github.com/golang/go/blob/master/src/slices/slices.go
51887,https://github.com/golang/go/issues/51887,function,src/strconv,src/strconv/quote.go,unquote,https://github.com/golang/go/blob/master/src/strconv/quote.go
,,,,,appendQuotedWith,https://github.com/golang/go/blob/master/src/strconv/quote.go
,,,,,QuotedPrefix,https://github.com/golang/go/blob/master/src/strconv/quote.go
,,,,,Unquote,https://github.com/golang/go/blob/master/src/strconv/quote.go
